Cross_val1, PCA_comp:200MLP layers: 900,300,300Cross_val1, PCA_comp:200MLP layers: 900,300,300Cross_val1, PCA_comp:200MLP layers: 900,300,300             precision    recall  f1-score   support
     class3       0.38      0.38      0.38        40
     class4       0.31      0.27      0.29        15
     class5       0.21      0.20      0.20        30
     class6       0.62      0.85      0.72        47
     class7       0.07      0.04      0.05        25
     class8       0.48      0.62      0.55        24
     class9       0.19      0.18      0.19        28
    class10       0.33      0.37      0.35        38
    class11       0.27      0.30      0.29        33
    class12       0.24      0.16      0.19        25
    class13       0.36      0.31      0.33        13
    class14       0.27      0.22      0.24        27
    class15       0.81      0.81      0.81        26
    class16       0.39      0.35      0.37        34
    class17       0.59      0.77      0.67        48
    class18       0.22      0.21      0.22        38
    class19       0.30      0.29      0.30        48
    class20       0.24      0.23      0.23        22
    class21       0.30      0.34      0.32        47
    class22       0.12      0.12      0.12        43
    class23       0.32      0.27      0.30        44
    class24       0.29      0.33      0.31        48
    class25       0.41      0.34      0.38        35
    class26       0.25      0.20      0.22        15
    class27       0.40      0.24      0.30        34
    class28       0.39      0.43      0.41        35
    class29       0.18      0.17      0.17        18

avg / total       0.34      0.36      0.35       951
Cross_val4, PCA_comp:400MLP layers: 1000,300,300             precision    recall  f1-score   support

     class1       0.48      0.50      0.49        40
     class2       0.23      0.29      0.25        31
     class3       0.40      0.35      0.37        40
     class4       0.23      0.20      0.21        15
     class5       0.19      0.13      0.16        30
     class6       0.62      0.79      0.69        47
     class7       0.12      0.08      0.10        25
     class8       0.42      0.58      0.49        24
     class9       0.17      0.14      0.16        28
    class10       0.31      0.34      0.33        38
    class11       0.15      0.15      0.15        33
    class12       0.17      0.16      0.17        25
    class13       0.57      0.31      0.40        13
    class14       0.28      0.26      0.27        27
    class15       0.76      0.73      0.75        26
    class16       0.37      0.32      0.34        34
    class17       0.65      0.71      0.68        48
    class18       0.16      0.16      0.16        38
    class19       0.38      0.42      0.40        48
    class20       0.26      0.23      0.24        22
    class21       0.35      0.32      0.33        47
    class22       0.16      0.16      0.16        43
    class23       0.38      0.32      0.35        44
    class24       0.28      0.33      0.30        48
    class25       0.43      0.37      0.40        35
    class26       0.28      0.33      0.30        15
    class27       0.22      0.15      0.18        34
    class28       0.35      0.40      0.37        35
    class29       0.21      0.33      0.26        18

avg / total       0.34      0.35      0.34       951

Cross_val1, PCA_comp:60MLP layers: 1200,300,300             precision    recall  f1-score   support

     class1       0.59      0.65      0.62        40
     class2       0.23      0.29      0.25        31
     class3       0.42      0.38      0.39        40
     class4       0.31      0.33      0.32        15
     class5       0.30      0.20      0.24        30
     class6       0.52      0.70      0.59        47
     class7       0.22      0.20      0.21        25
     class8       0.61      0.83      0.70        24
     class9       0.30      0.21      0.25        28
    class10       0.37      0.39      0.38        38
    class11       0.44      0.36      0.40        33
    class12       0.12      0.12      0.12        25
    class13       0.50      0.31      0.38        13
    class14       0.35      0.26      0.30        27
    class15       0.65      0.85      0.73        26
    class16       0.42      0.44      0.43        34
    class17       0.58      0.73      0.65        48
    class18       0.31      0.26      0.29        38
    class19       0.23      0.21      0.22        48
    class20       0.21      0.18      0.20        22
    class21       0.28      0.34      0.31        47
    class22       0.19      0.16      0.18        43
    class23       0.46      0.41      0.43        44
    class24       0.35      0.33      0.34        48
    class25       0.46      0.37      0.41        35
    class26       0.33      0.33      0.33        15
    class27       0.29      0.29      0.29        34
    class28       0.62      0.60      0.61        35
    class29       0.26      0.28      0.27        18

avg / total       0.38      0.39      0.38       951
Cross_val1, PCA_comp:80MLP layers: 1200,300,300             precision    recall  f1-score   support

     class1       0.61      0.57      0.59        40
     class2       0.21      0.19      0.20        31
     class3       0.30      0.30      0.30        40
     class4       0.43      0.40      0.41        15
     class5       0.33      0.27      0.30        30
     class6       0.55      0.68      0.61        47
     class7       0.33      0.24      0.28        25
     class8       0.66      0.79      0.72        24
     class9       0.39      0.25      0.30        28
    class10       0.35      0.32      0.33        38
    class11       0.45      0.30      0.36        33
    class12       0.12      0.16      0.14        25
    class13       0.57      0.31      0.40        13
    class14       0.31      0.37      0.34        27
    class15       0.62      0.77      0.69        26
    class16       0.56      0.53      0.55        34
    class17       0.60      0.77      0.67        48
    class18       0.24      0.26      0.25        38
    class19       0.28      0.29      0.29        48
    class20       0.17      0.18      0.18        22
    class21       0.34      0.38      0.36        47
    class22       0.14      0.14      0.14        43
    class23       0.40      0.32      0.35        44
    class24       0.36      0.40      0.38        48
    class25       0.54      0.40      0.46        35
    class26       0.50      0.33      0.40        15
    class27       0.35      0.38      0.37        34
    class28       0.53      0.66      0.59        35
    class29       0.44      0.39      0.41        18

avg / total       0.40      0.40      0.40       951
Cross_val1, PCA_comp:100MLP layers: 1200,300,300             precision    recall  f1-score   support

     class1       0.53      0.57      0.55        40
     class2       0.19      0.23      0.21        31
     class3       0.29      0.28      0.28        40
     class4       0.31      0.27      0.29        15
     class5       0.45      0.33      0.38        30
     class6       0.54      0.72      0.62        47
     class7       0.26      0.20      0.23        25
     class8       0.60      0.75      0.67        24
     class9       0.36      0.18      0.24        28
    class10       0.38      0.34      0.36        38
    class11       0.39      0.33      0.36        33
    class12       0.08      0.08      0.08        25
    class13       0.33      0.23      0.27        13
    class14       0.30      0.33      0.32        27
    class15       0.62      0.77      0.69        26
    class16       0.49      0.53      0.51        34
    class17       0.65      0.77      0.70        48
    class18       0.20      0.26      0.23        38
    class19       0.29      0.29      0.29        48
    class20       0.36      0.18      0.24        22
    class21       0.29      0.34      0.31        47
    class22       0.13      0.12      0.12        43
    class23       0.38      0.34      0.36        44
    class24       0.29      0.31      0.30        48
    class25       0.52      0.43      0.47        35
    class26       0.33      0.27      0.30        15
    class27       0.23      0.21      0.22        34
    class28       0.64      0.71      0.68        35
    class29       0.28      0.28      0.28        18

avg / total       0.38      0.38      0.38       951
Cross_val1, PCA_comp:150MLP layers: 1200,300,300             precision    recall  f1-score   support

     class1       0.66      0.62      0.64        40
     class2       0.17      0.23      0.20        31
     class3       0.31      0.30      0.30        40
     class4       0.38      0.33      0.36        15
     class5       0.35      0.20      0.26        30
     class6       0.54      0.79      0.64        47
     class7       0.32      0.24      0.27        25
     class8       0.60      0.75      0.67        24
     class9       0.24      0.14      0.18        28
    class10       0.45      0.39      0.42        38
    class11       0.37      0.33      0.35        33
    class12       0.12      0.12      0.12        25
    class13       0.29      0.15      0.20        13
    class14       0.23      0.26      0.25        27
    class15       0.69      0.85      0.76        26
    class16       0.46      0.38      0.42        34
    class17       0.61      0.73      0.67        48
    class18       0.19      0.16      0.17        38
    class19       0.33      0.35      0.34        48
    class20       0.24      0.23      0.23        22
    class21       0.30      0.36      0.33        47
    class22       0.15      0.14      0.14        43
    class23       0.37      0.36      0.37        44
    class24       0.30      0.29      0.30        48
    class25       0.29      0.29      0.29        35
    class26       0.25      0.27      0.26        15
    class27       0.32      0.26      0.29        34
    class28       0.60      0.69      0.64        35
    class29       0.32      0.33      0.32        18

avg / total       0.37      0.38      0.37       951
Cross_val2, PCA_comp:60MLP layers: 1200,300,300             precision    recall  f1-score   support

     class1       0.61      0.55      0.58        40
     class2       0.43      0.65      0.52        31
     class3       0.29      0.35      0.32        40
     class4       0.43      0.20      0.27        15
     class5       0.35      0.37      0.36        30
     class6       0.56      0.66      0.61        47
     class7       0.05      0.04      0.04        25
     class8       0.56      0.58      0.57        24
     class9       0.33      0.14      0.20        28
    class10       0.30      0.29      0.29        38
    class11       0.30      0.42      0.35        33
    class12       0.29      0.24      0.26        25
    class13       0.40      0.15      0.22        13
    class14       0.40      0.37      0.38        27
    class15       0.69      0.77      0.73        26
    class16       0.40      0.35      0.38        34
    class17       0.69      0.71      0.70        48
    class18       0.20      0.21      0.21        38
    class19       0.25      0.23      0.24        48
    class20       0.30      0.27      0.29        22
    class21       0.37      0.36      0.37        47
    class22       0.31      0.30      0.31        43
    class23       0.49      0.50      0.49        44
    class24       0.35      0.33      0.34        48
    class25       0.29      0.29      0.29        35
    class26       0.25      0.40      0.31        15
    class27       0.27      0.29      0.28        34
    class28       0.56      0.54      0.55        35
    class29       0.33      0.28      0.30        18

avg / total       0.39      0.39      0.39       951
Cross_val2, PCA_comp:80MLP layers: 1200,300,300             precision    recall  f1-score   support

     class1       0.57      0.62      0.60        40
     class2       0.40      0.52      0.45        31
     class3       0.34      0.38      0.36        40
     class4       0.27      0.20      0.23        15
     class5       0.34      0.40      0.37        30
     class6       0.58      0.64      0.61        47
     class7       0.18      0.16      0.17        25
     class8       0.50      0.58      0.54        24
     class9       0.21      0.14      0.17        28
    class10       0.35      0.37      0.36        38
    class11       0.50      0.45      0.48        33
    class12       0.35      0.28      0.31        25
    class13       0.33      0.23      0.27        13
    class14       0.28      0.26      0.27        27
    class15       0.73      0.73      0.73        26
    class16       0.42      0.32      0.37        34
    class17       0.69      0.60      0.64        48
    class18       0.17      0.16      0.16        38
    class19       0.26      0.29      0.28        48
    class20       0.30      0.27      0.29        22
    class21       0.38      0.43      0.40        47
    class22       0.17      0.16      0.16        43
    class23       0.56      0.57      0.56        44
    class24       0.33      0.33      0.33        48
    class25       0.36      0.34      0.35        35
    class26       0.38      0.40      0.39        15
    class27       0.23      0.26      0.24        34
    class28       0.59      0.57      0.58        35
    class29       0.32      0.33      0.32        18

avg / total       0.39      0.39      0.39       951
Cross_val2, PCA_comp:100MLP layers: 1200,300,300             precision    recall  f1-score   support

     class1       0.62      0.75      0.68        40
     class2       0.36      0.52      0.42        31
     class3       0.42      0.38      0.39        40
     class4       0.42      0.33      0.37        15
     class5       0.29      0.40      0.33        30
     class6       0.53      0.66      0.59        47
     class7       0.21      0.16      0.18        25
     class8       0.52      0.54      0.53        24
     class9       0.22      0.14      0.17        28
    class10       0.36      0.34      0.35        38
    class11       0.32      0.33      0.33        33
    class12       0.23      0.20      0.21        25
    class13       0.33      0.23      0.27        13
    class14       0.18      0.22      0.20        27
    class15       0.79      0.73      0.76        26
    class16       0.57      0.47      0.52        34
    class17       0.67      0.65      0.66        48
    class18       0.20      0.24      0.21        38
    class19       0.22      0.23      0.23        48
    class20       0.42      0.23      0.29        22
    class21       0.44      0.36      0.40        47
    class22       0.21      0.21      0.21        43
    class23       0.56      0.50      0.53        44
    class24       0.31      0.31      0.31        48
    class25       0.44      0.43      0.43        35
    class26       0.36      0.53      0.43        15
    class27       0.32      0.32      0.32        34
    class28       0.65      0.57      0.61        35
    class29       0.28      0.28      0.28        18

avg / total       0.40      0.40      0.40       951
Cross_val2, PCA_comp:150MLP layers: 1200,300,300             precision    recall  f1-score   support

     class1       0.59      0.72      0.65        40
     class2       0.40      0.52      0.45        31
     class3       0.38      0.38      0.38        40
     class4       0.40      0.27      0.32        15
     class5       0.38      0.43      0.41        30
     class6       0.60      0.70      0.65        47
     class7       0.20      0.16      0.18        25
     class8       0.47      0.62      0.54        24
     class9       0.19      0.18      0.18        28
    class10       0.29      0.26      0.28        38
    class11       0.42      0.39      0.41        33
    class12       0.22      0.24      0.23        25
    class13       0.27      0.23      0.25        13
    class14       0.18      0.15      0.16        27
    class15       0.81      0.85      0.83        26
    class16       0.54      0.41      0.47        34
    class17       0.67      0.65      0.66        48
    class18       0.23      0.24      0.23        38
    class19       0.20      0.19      0.20        48
    class20       0.31      0.18      0.23        22
    class21       0.36      0.38      0.37        47
    class22       0.23      0.21      0.22        43
    class23       0.56      0.55      0.55        44
    class24       0.38      0.38      0.38        48
    class25       0.38      0.40      0.39        35
    class26       0.26      0.33      0.29        15
    class27       0.29      0.26      0.28        34
    class28       0.57      0.57      0.57        35
    class29       0.23      0.28      0.25        18

avg / total       0.39      0.40      0.40       951
Cross_val3, PCA_comp:60MLP layers: 1200,300,300             precision    recall  f1-score   support

     class1       0.48      0.55      0.51        40
     class2       0.31      0.32      0.32        31
     class3       0.42      0.47      0.45        40
     class4       0.56      0.33      0.42        15
     class5       0.41      0.37      0.39        30
     class6       0.56      0.70      0.62        47
     class7       0.18      0.24      0.20        25
     class8       0.45      0.62      0.53        24
     class9       0.18      0.18      0.18        28
    class10       0.31      0.34      0.33        38
    class11       0.23      0.27      0.25        33
    class12       0.10      0.08      0.09        25
    class13       0.50      0.31      0.38        13
    class14       0.24      0.15      0.18        27
    class15       0.63      0.65      0.64        26
    class16       0.33      0.35      0.34        34
    class17       0.54      0.65      0.59        48
    class18       0.12      0.11      0.11        38
    class19       0.26      0.23      0.24        48
    class20       0.08      0.05      0.06        22
    class21       0.33      0.28      0.30        47
    class22       0.20      0.26      0.22        43
    class23       0.55      0.50      0.52        44
    class24       0.33      0.25      0.29        48
    class25       0.37      0.37      0.37        35
    class26       0.39      0.47      0.42        15
    class27       0.39      0.32      0.35        34
    class28       0.45      0.40      0.42        35
    class29       0.32      0.33      0.32        18

avg / total       0.36      0.36      0.35       951
Cross_val3, PCA_comp:80MLP layers: 1200,300,300             precision    recall  f1-score   support

     class1       0.51      0.50      0.51        40
     class2       0.24      0.32      0.28        31
     class3       0.24      0.25      0.25        40
     class4       0.33      0.27      0.30        15
     class5       0.42      0.33      0.37        30
     class6       0.53      0.66      0.59        47
     class7       0.31      0.32      0.31        25
     class8       0.52      0.62      0.57        24
     class9       0.29      0.32      0.31        28
    class10       0.36      0.37      0.36        38
    class11       0.26      0.30      0.28        33
    class12       0.29      0.16      0.21        25
    class13       0.44      0.31      0.36        13
    class14       0.17      0.15      0.16        27
    class15       0.63      0.65      0.64        26
    class16       0.33      0.38      0.36        34
    class17       0.59      0.71      0.64        48
    class18       0.11      0.11      0.11        38
    class19       0.28      0.31      0.29        48
    class20       0.14      0.09      0.11        22
    class21       0.28      0.28      0.28        47
    class22       0.19      0.23      0.21        43
    class23       0.49      0.43      0.46        44
    class24       0.42      0.35      0.39        48
    class25       0.48      0.43      0.45        35
    class26       0.35      0.47      0.40        15
    class27       0.42      0.29      0.34        34
    class28       0.62      0.51      0.56        35
    class29       0.39      0.39      0.39        18

avg / total       0.37      0.37      0.37       951
Cross_val3, PCA_comp:100MLP layers: 1200,300,300             precision    recall  f1-score   support

     class1       0.47      0.45      0.46        40
     class2       0.29      0.39      0.33        31
     class3       0.32      0.35      0.33        40
     class4       0.55      0.40      0.46        15
     class5       0.35      0.30      0.32        30
     class6       0.52      0.68      0.59        47
     class7       0.29      0.32      0.30        25
     class8       0.68      0.62      0.65        24
     class9       0.21      0.21      0.21        28
    class10       0.38      0.37      0.37        38
    class11       0.28      0.36      0.32        33
    class12       0.15      0.12      0.13        25
    class13       0.75      0.23      0.35        13
    class14       0.28      0.19      0.22        27
    class15       0.61      0.65      0.63        26
    class16       0.42      0.41      0.42        34
    class17       0.63      0.71      0.67        48
    class18       0.19      0.16      0.17        38
    class19       0.30      0.29      0.30        48
    class20       0.11      0.05      0.06        22
    class21       0.25      0.26      0.25        47
    class22       0.18      0.21      0.19        43
    class23       0.57      0.61      0.59        44
    class24       0.50      0.33      0.40        48
    class25       0.39      0.46      0.42        35
    class26       0.44      0.53      0.48        15
    class27       0.25      0.26      0.26        34
    class28       0.56      0.54      0.55        35
    class29       0.33      0.39      0.36        18

avg / total       0.38      0.38      0.38       951
Cross_val3, PCA_comp:150MLP layers: 1200,300,300             precision    recall  f1-score   support

     class1       0.51      0.53      0.52        40
     class2       0.27      0.45      0.34        31
     class3       0.34      0.38      0.36        40
     class4       0.44      0.27      0.33        15
     class5       0.38      0.27      0.31        30
     class6       0.57      0.68      0.62        47
     class7       0.20      0.28      0.23        25
     class8       0.62      0.62      0.62        24
     class9       0.32      0.29      0.30        28
    class10       0.39      0.32      0.35        38
    class11       0.30      0.36      0.33        33
    class12       0.31      0.16      0.21        25
    class13       0.60      0.23      0.33        13
    class14       0.35      0.26      0.30        27
    class15       0.58      0.69      0.63        26
    class16       0.27      0.35      0.31        34
    class17       0.57      0.67      0.62        48
    class18       0.16      0.13      0.14        38
    class19       0.23      0.23      0.23        48
    class20       0.33      0.23      0.27        22
    class21       0.30      0.28      0.29        47
    class22       0.19      0.21      0.20        43
    class23       0.50      0.39      0.44        44
    class24       0.39      0.35      0.37        48
    class25       0.42      0.37      0.39        35
    class26       0.29      0.40      0.33        15
    class27       0.31      0.24      0.27        34
    class28       0.45      0.49      0.47        35
    class29       0.28      0.39      0.33        18

avg / total       0.37      0.37      0.37       951
Cross_val4, PCA_comp:60MLP layers: 1200,300,300             precision    recall  f1-score   support

     class1       0.56      0.55      0.56        40
     class2       0.30      0.26      0.28        31
     class3       0.31      0.33      0.32        40
     class4       0.32      0.40      0.35        15
     class5       0.16      0.17      0.16        30
     class6       0.54      0.70      0.61        47
     class7       0.14      0.12      0.13        25
     class8       0.63      0.79      0.70        24
     class9       0.26      0.29      0.27        28
    class10       0.34      0.50      0.40        38
    class11       0.24      0.24      0.24        33
    class12       0.39      0.36      0.37        25
    class13       0.36      0.38      0.37        13
    class14       0.30      0.30      0.30        27
    class15       0.88      0.81      0.84        26
    class16       0.35      0.26      0.30        34
    class17       0.48      0.65      0.55        48
    class18       0.11      0.13      0.12        38
    class19       0.25      0.19      0.21        48
    class20       0.20      0.18      0.19        22
    class21       0.36      0.26      0.30        47
    class22       0.10      0.09      0.10        43
    class23       0.55      0.48      0.51        44
    class24       0.25      0.21      0.23        48
    class25       0.47      0.43      0.45        35
    class26       0.36      0.27      0.31        15
    class27       0.23      0.21      0.22        34
    class28       0.47      0.49      0.48        35
    class29       0.38      0.44      0.41        18

avg / total       0.36      0.36      0.35       951
Cross_val4, PCA_comp:80MLP layers: 1200,300,300             precision    recall  f1-score   support

     class1       0.50      0.60      0.55        40
     class2       0.30      0.26      0.28        31
     class3       0.29      0.33      0.31        40
     class4       0.43      0.67      0.53        15
     class5       0.22      0.17      0.19        30
     class6       0.58      0.68      0.63        47
     class7       0.18      0.20      0.19        25
     class8       0.54      0.79      0.64        24
     class9       0.23      0.18      0.20        28
    class10       0.37      0.42      0.40        38
    class11       0.35      0.24      0.29        33
    class12       0.35      0.44      0.39        25
    class13       0.62      0.38      0.48        13
    class14       0.22      0.26      0.24        27
    class15       0.81      0.81      0.81        26
    class16       0.25      0.24      0.24        34
    class17       0.64      0.71      0.67        48
    class18       0.15      0.16      0.15        38
    class19       0.23      0.25      0.24        48
    class20       0.15      0.14      0.14        22
    class21       0.31      0.23      0.27        47
    class22       0.10      0.07      0.08        43
    class23       0.60      0.55      0.57        44
    class24       0.31      0.29      0.30        48
    class25       0.42      0.37      0.39        35
    class26       0.33      0.27      0.30        15
    class27       0.24      0.24      0.24        34
    class28       0.49      0.54      0.51        35
    class29       0.42      0.44      0.43        18

avg / total       0.36      0.37      0.37       951
Cross_val4, PCA_comp:100MLP layers: 1200,300,300             precision    recall  f1-score   support

     class1       0.55      0.53      0.54        40
     class2       0.19      0.23      0.21        31
     class3       0.30      0.33      0.31        40
     class4       0.42      0.53      0.47        15
     class5       0.16      0.13      0.15        30
     class6       0.54      0.74      0.62        47
     class7       0.17      0.24      0.20        25
     class8       0.49      0.71      0.58        24
     class9       0.15      0.07      0.10        28
    class10       0.41      0.39      0.40        38
    class11       0.23      0.18      0.20        33
    class12       0.21      0.16      0.18        25
    class13       0.31      0.31      0.31        13
    class14       0.14      0.19      0.16        27
    class15       0.79      0.73      0.76        26
    class16       0.30      0.26      0.28        34
    class17       0.59      0.67      0.63        48
    class18       0.10      0.11      0.10        38
    class19       0.28      0.23      0.25        48
    class20       0.19      0.18      0.19        22
    class21       0.35      0.30      0.32        47
    class22       0.08      0.07      0.08        43
    class23       0.46      0.48      0.47        44
    class24       0.26      0.23      0.24        48
    class25       0.41      0.34      0.38        35
    class26       0.31      0.27      0.29        15
    class27       0.24      0.18      0.20        34
    class28       0.40      0.51      0.45        35
    class29       0.27      0.33      0.30        18

avg / total       0.33      0.34      0.33       951
Cross_val4, PCA_comp:150MLP layers: 1200,300,300             precision    recall  f1-score   support

     class1       0.56      0.55      0.56        40
     class2       0.25      0.23      0.24        31
     class3       0.31      0.30      0.30        40
     class4       0.36      0.53      0.43        15
     class5       0.23      0.17      0.19        30
     class6       0.49      0.72      0.59        47
     class7       0.18      0.20      0.19        25
     class8       0.51      0.75      0.61        24
     class9       0.14      0.14      0.14        28
    class10       0.52      0.45      0.48        38
    class11       0.32      0.18      0.23        33
    class12       0.31      0.36      0.33        25
    class13       0.33      0.23      0.27        13
    class14       0.21      0.30      0.25        27
    class15       0.87      0.77      0.82        26
    class16       0.21      0.12      0.15        34
    class17       0.73      0.67      0.70        48
    class18       0.10      0.11      0.10        38
    class19       0.20      0.25      0.22        48
    class20       0.17      0.18      0.18        22
    class21       0.33      0.32      0.33        47
    class22       0.12      0.12      0.12        43
    class23       0.54      0.50      0.52        44
    class24       0.32      0.25      0.28        48
    class25       0.36      0.37      0.37        35
    class26       0.31      0.27      0.29        15
    class27       0.28      0.21      0.24        34
    class28       0.43      0.57      0.49        35
    class29       0.38      0.44      0.41        18

avg / total       0.35      0.36      0.35       951
Cross_val1, PCA_comp:60MLP layers: 1400,300,300             precision    recall  f1-score   support

     class1       0.49      0.55      0.52        40
     class2       0.26      0.19      0.22        31
     class3       0.49      0.62      0.55        40
     class4       0.45      0.33      0.38        15
     class5       0.26      0.17      0.20        30
     class6       0.62      0.66      0.64        47
     class7       0.10      0.08      0.09        25
     class8       0.59      0.67      0.63        24
     class9       0.23      0.21      0.22        28
    class10       0.37      0.53      0.43        38
    class11       0.41      0.36      0.39        33
    class12       0.10      0.08      0.09        25
    class13       0.38      0.38      0.38        13
    class14       0.19      0.15      0.17        27
    class15       0.63      0.65      0.64        26
    class16       0.34      0.35      0.35        34
    class17       0.67      0.75      0.71        48
    class18       0.35      0.39      0.37        38
    class19       0.26      0.27      0.27        48
    class20       0.30      0.27      0.29        22
    class21       0.31      0.32      0.32        47
    class22       0.22      0.19      0.20        43
    class23       0.54      0.50      0.52        44
    class24       0.44      0.35      0.39        48
    class25       0.37      0.31      0.34        35
    class26       0.27      0.27      0.27        15
    class27       0.26      0.29      0.28        34
    class28       0.51      0.63      0.56        35
    class29       0.24      0.28      0.26        18

avg / total       0.38      0.39      0.38       951
Cross_val1, PCA_comp:80MLP layers: 1400,300,300             precision    recall  f1-score   support

     class1       0.50      0.55      0.52        40
     class2       0.34      0.32      0.33        31
     class3       0.50      0.55      0.52        40
     class4       0.50      0.40      0.44        15
     class5       0.43      0.33      0.38        30
     class6       0.63      0.68      0.65        47
     class7       0.20      0.12      0.15        25
     class8       0.46      0.71      0.56        24
     class9       0.30      0.25      0.27        28
    class10       0.41      0.55      0.47        38
    class11       0.39      0.36      0.38        33
    class12       0.15      0.16      0.16        25
    class13       0.33      0.23      0.27        13
    class14       0.26      0.26      0.26        27
    class15       0.68      0.73      0.70        26
    class16       0.41      0.38      0.39        34
    class17       0.63      0.71      0.67        48
    class18       0.26      0.29      0.28        38
    class19       0.21      0.23      0.22        48
    class20       0.35      0.36      0.36        22
    class21       0.36      0.34      0.35        47
    class22       0.24      0.23      0.24        43
    class23       0.41      0.30      0.34        44
    class24       0.43      0.44      0.43        48
    class25       0.64      0.46      0.53        35
    class26       0.27      0.27      0.27        15
    class27       0.23      0.26      0.25        34
    class28       0.62      0.57      0.60        35
    class29       0.39      0.39      0.39        18

avg / total       0.41      0.41      0.40       951
Cross_val1, PCA_comp:100MLP layers: 1400,300,300             precision    recall  f1-score   support

     class1       0.49      0.57      0.53        40
     class2       0.26      0.29      0.27        31
     class3       0.47      0.62      0.54        40
     class4       0.42      0.33      0.37        15
     class5       0.50      0.37      0.42        30
     class6       0.63      0.66      0.65        47
     class7       0.19      0.12      0.15        25
     class8       0.50      0.67      0.57        24
     class9       0.41      0.25      0.31        28
    class10       0.38      0.39      0.38        38
    class11       0.31      0.24      0.27        33
    class12       0.10      0.12      0.11        25
    class13       0.21      0.23      0.22        13
    class14       0.23      0.22      0.23        27
    class15       0.61      0.73      0.67        26
    class16       0.35      0.35      0.35        34
    class17       0.63      0.71      0.67        48
    class18       0.27      0.29      0.28        38
    class19       0.29      0.29      0.29        48
    class20       0.23      0.27      0.25        22
    class21       0.37      0.34      0.36        47
    class22       0.22      0.16      0.19        43
    class23       0.40      0.32      0.35        44
    class24       0.44      0.48      0.46        48
    class25       0.48      0.31      0.38        35
    class26       0.31      0.27      0.29        15
    class27       0.26      0.29      0.27        34
    class28       0.51      0.57      0.54        35
    class29       0.35      0.39      0.37        18

avg / total       0.39      0.39      0.39       951
Cross_val1, PCA_comp:180MLP layers: 1400,300,300             precision    recall  f1-score   support

     class1       0.47      0.50      0.48        40
     class2       0.28      0.26      0.27        31
     class3       0.39      0.40      0.40        40
     class4       0.46      0.40      0.43        15
     class5       0.38      0.27      0.31        30
     class6       0.57      0.66      0.61        47
     class7       0.14      0.12      0.13        25
     class8       0.38      0.62      0.48        24
     class9       0.22      0.21      0.22        28
    class10       0.40      0.50      0.44        38
    class11       0.28      0.21      0.24        33
    class12       0.15      0.12      0.13        25
    class13       0.33      0.31      0.32        13
    class14       0.31      0.33      0.32        27
    class15       0.59      0.65      0.62        26
    class16       0.35      0.35      0.35        34
    class17       0.54      0.65      0.59        48
    class18       0.23      0.29      0.26        38
    class19       0.27      0.27      0.27        48
    class20       0.18      0.18      0.18        22
    class21       0.32      0.26      0.28        47
    class22       0.23      0.21      0.22        43
    class23       0.42      0.32      0.36        44
    class24       0.33      0.33      0.33        48
    class25       0.52      0.37      0.43        35
    class26       0.29      0.27      0.28        15
    class27       0.27      0.29      0.28        34
    class28       0.54      0.60      0.57        35
    class29       0.41      0.39      0.40        18

avg / total       0.36      0.37      0.36       951
Cross_val1, PCA_comp:250MLP layers: 1400,300,300             precision    recall  f1-score   support

     class1       0.51      0.53      0.52        40
     class2       0.20      0.19      0.20        31
     class3       0.37      0.40      0.39        40
     class4       0.50      0.53      0.52        15
     class5       0.45      0.30      0.36        30
     class6       0.65      0.74      0.69        47
     class7       0.27      0.16      0.20        25
     class8       0.45      0.71      0.55        24
     class9       0.26      0.18      0.21        28
    class10       0.33      0.42      0.37        38
    class11       0.38      0.24      0.30        33
    class12       0.09      0.08      0.08        25
    class13       0.38      0.38      0.38        13
    class14       0.24      0.30      0.27        27
    class15       0.59      0.62      0.60        26
    class16       0.45      0.38      0.41        34
    class17       0.66      0.60      0.63        48
    class18       0.24      0.24      0.24        38
    class19       0.26      0.27      0.27        48
    class20       0.36      0.41      0.38        22
    class21       0.33      0.36      0.34        47
    class22       0.22      0.26      0.23        43
    class23       0.41      0.32      0.36        44
    class24       0.33      0.31      0.32        48
    class25       0.38      0.37      0.38      Cross_val1, PCA_comp:60MLP layers: 700,300,300             precision    recall  f1-score   support

     class1       0.71      0.72      0.72        40
     class2       0.41      0.42      0.41        31
     class3       0.26      0.30      0.28        40
     class4       0.50      0.60      0.55        15
     class5       0.39      0.50      0.44        30
     class6       0.55      0.60      0.57        47
     class7       0.18      0.08      0.11        25
     class8       0.65      0.71      0.68        24
     class9       0.10      0.07      0.08        28
    class10       0.36      0.39      0.38        38
    class11       0.20      0.24      0.22        33
    class12       0.17      0.16      0.16        25
    class13       0.38      0.23      0.29        13
    class14       0.29      0.26      0.27        27
    class15       0.68      0.81      0.74        26
    class16       0.35      0.26      0.30        34
    class17       0.76      0.77      0.76        48
    class18       0.23      0.26      0.24        38
    class19       0.31      0.31      0.31        48
    class20       0.23      0.27      0.25        22
    class21       0.35      0.38      0.36        47
    class22       0.33      0.35      0.34        43
    class23       0.59      0.52      0.55        44
    class24       0.30      0.33      0.31        48
    class25       0.45      0.37      0.41        35
    class26       0.75      0.40      0.52        15
    class27       0.54      0.38      0.45        34
    class28       0.54      0.54      0.54        35
    class29       0.29      0.28      0.29        18

avg / total       0.41      0.41      0.41       951
